"size","density","density_weighted","modularity_optimal","modularity_louvain","modularity_walktrap","number","gradient"
27,0.4359,0.217781,0.223802,0.215206,0.210698,134217727,373
27,0.3789,0.166394,0.274438,0.270177,0.18825,134217727,375
27,0.5128,0.189183,0.228455,0.227929,0.222053,134217727,376
27,0.4701,0.17246,0.255247,0.235593,0.253,134217727,377
27,0.3419,0.180338,0.254649,0.24922,0.19251,134217727,378
27,0.4274,0.185631,0.258074,0.255574,0.214076,134217727,379
27,0.3333,0.147087,0.344345,0.344345,0.334797,134217727,380
27,0.4729,0.174272,0.268417,0.268417,0.268417,134217727,381
27,0.4644,0.163887,0.260613,0.25496,0.191642,134217727,382
27,0.5613,0.222396,0.22723,0.225636,0.189161,134217727,383
27,0.6895,0.298325,0.139172,0.13435,0.098454,134217727,384
27,0.5014,0.199859,0.263849,0.263849,0.263849,134217727,385
27,0.4416,0.162772,0.270911,0.265783,0.257016,134217727,387
27,0.3989,0.23517,0.204788,0.199457,0.197673,134217727,388
27,0.5157,0.203293,0.240293,0.222172,0.232508,134217727,389
27,0.6353,0.265927,0.172976,0.172976,0.131045,134217727,390
27,0.3077,0.155008,0.319769,0.319769,0.309683,134217727,392
27,0.4188,0.154931,0.267966,0.267405,0.229618,134217727,393
27,0.4302,0.161486,0.274877,0.273242,0.241825,134217727,395
27,0.3846,0.205306,0.244373,0.243036,0.242049,134217727,398
27,0.2906,0.139861,0.333831,0.327256,0.32014,134217727,399
27,0.5043,0.198206,0.232776,0.232776,0.20368,134217727,401
27,0.4929,0.184168,0.237345,0.234005,0.206978,134217727,406
27,0.3618,0.169053,0.24275,0.228228,0.194215,134217727,407
27,0.4558,0.216455,0.229077,0.229077,0.145574,134217727,409
27,0.4444,0.200378,0.239086,0.235056,0.228706,134217727,411
27,0.5584,0.21135,0.181152,0.174081,0.152996,134217727,413
27,0.5185,0.190638,0.193932,0.190853,0.190068,134217727,415
27,0.4644,0.165846,0.268114,0.268114,0.24123,134217727,416
27,0.2422,0.121685,0.388189,0.368693,0.341276,134217727,419
27,0.4217,0.142067,0.296226,0.296226,0.296226,134217727,420
27,0.2593,0.147345,0.379504,0.378935,0.365837,134217727,421
27,0.4359,0.160281,0.262554,0.251532,0.245898,134217727,422
27,0.4701,0.261135,0.252927,0.252745,0.252927,134217727,432
27,0.6581,0.370105,0.177661,0.177661,0.160184,134217727,433
27,0.2422,0.135004,0.352554,0.352554,0.270364,134217727,434
27,0.416,0.164608,0.335051,0.335051,0.302278,134217727,437
27,0.3875,0.153478,0.233599,0.233599,0.170035,134217727,438
27,0.433,0.162522,0.250727,0.2502,0.239352,134217727,439
27,0.2821,0.141959,0.338649,0.338649,0.331145,134217727,440
27,0.3504,0.12925,0.245651,0.230745,0.192618,134217727,441
27,0.3932,0.198118,0.218758,0.214593,0.187068,134217727,443
27,0.4929,0.230856,0.19137,0.19137,0.172072,134217727,445
27,0.4501,0.215386,0.181192,0.173789,0.148978,134217727,447
27,0.5185,0.204,0.228955,0.219649,0.217365,134217727,448
27,0.5157,0.237791,0.183514,0.154091,0.160959,134217727,451
27,0.2678,0.146295,0.352452,0.343962,0.351316,134217727,452
27,0.547,0.215687,0.236599,0.236599,0.235659,134217727,453
27,0.4729,0.255162,0.148267,0.139746,0.077028,134217727,454
27,0.5726,0.239637,0.215751,0.215751,0.15964,134217727,455
27,0.5641,0.220587,0.202641,0.190538,0.19933,134217727,456
27,0.5499,0.223064,0.19702,0.195423,0.156448,134217727,458
27,0.416,0.219991,0.23167,0.224374,0.207374,134217727,459
27,0.5556,0.20586,0.211179,0.204677,0.207408,134217727,461
27,0.416,0.205106,0.259385,0.258263,0.22738,134217727,462
27,0.5242,0.19862,0.222819,0.222819,0.212145,134217727,465
27,0.5584,0.235314,0.218868,0.217954,0.211128,134217727,466
27,0.3191,0.139038,0.285309,0.285309,0.241588,134217727,468
27,0.5014,0.211558,0.230074,0.230074,0.167735,134217727,469
27,0.4416,0.156656,0.263943,0.25593,0.263943,134217727,470
27,0.3077,0.134976,0.299974,0.299974,0.285149,134217727,476
27,0.2165,0.105975,0.44486,0.44486,0.428384,134217727,477
27,0.4131,0.147834,0.298266,0.298266,0.28805,134217727,478
27,0.3789,0.133261,0.252042,0.24136,0.187496,134217727,481
27,0.6325,0.26656,0.132165,0.130426,0.123466,134217727,482
